mean_train,std_train,max_train,min_train
0.09355929267841721,0.10537304066611747,0.9833,0.0039
0.2451344618734738,0.08896611268229783,0.9833,0.023899999
0.05708297667458855,0.10273002414200806,0.9564,0.0007
0.08571593881976654,0.10151519631047562,0.978,0.0055
0.2642084353163607,0.06582130600452665,0.5969,0.033999998
0.20814522138819427,0.08351917109700695,0.50189996,0.0243
0.12500099528576292,0.07774108989851095,0.4606,0.0078
0.4466940094859717,0.22054626564711446,0.96,0.02
1.157870008139852,0.9673113004196071,6.9,0.1
184.53812314401225,95.69442020135904,389.38416,0.00032407406
10.586940836127415,10.896786950655649,37.255913,-45.705986
18.643467712295685,8.165538073318473,53.43892,1.2357203
58.94361855886286,20.8416739568476,159.4556,12.410431
197.68002038345242,70.17320381366012,543.67816,24.967804
547.2789939954498,176.95695668753402,1383.7186,135.48615
